DATE,DEX,AMOUNT,TRADERS
2022-09-28,jumbo,8.24,1
2022-04-04,jumbo,288.32,4
2022-09-06,ref,685605.15,31
2021-10-24,ref,642142.81,199
2022-10-11,ref,348193.57,25
2022-08-05,ref,1950113.62,27
2022-04-03,ref,793122.45,40
2022-03-09,jumbo,4.86,1
2022-05-28,jumbo,553.8,3
2022-06-15,jumbo,713.87,3
2022-07-30,jumbo,29.84,2
2022-09-04,jumbo,0.04,1
2022-04-19,ref,1725992.03,78
2022-04-28,ref,690913.32,52
2021-11-25,ref,282558.72,69
2021-12-30,ref,474245.82,53
2022-07-16,ref,519958.87,25
2022-03-29,ref,328002.78,27
2022-04-02,ref,483429.49,44
2022-10-01,ref,58686.45,18
2022-11-10,jumbo,0.81,2
2022-08-30,jumbo,1.15,2
2021-10-02,ref,543497.27,225
2021-09-08,ref,3496568.89,249
2021-11-18,ref,981994.39,198
2021-10-19,ref,257552.29,304
2021-09-10,ref,1407115.31,215
2022-01-15,ref,311781.96,62
2021-10-10,ref,206079.66,248
2021-10-18,ref,229244.15,256
2022-03-26,ref,196935.88,37
2022-08-22,jumbo,0.76,2
2022-03-27,jumbo,4.93,2
2022-10-06,jumbo,1.19,1
2022-08-12,jumbo,0.36,1
2022-10-02,ref,70077.89,28
2021-11-10,ref,1082654.63,128
2021-10-07,ref,911943.06,427
2022-08-01,ref,442617.24,52
2022-08-03,ref,746854.81,35
2022-10-13,ref,1249010.14,30
2022-03-30,ref,342191.85,30
2022-03-07,jumbo,35.14,2
2022-02-22,ref,790317.01,45
2022-04-04,ref,1035137.65,48
2022-07-13,jumbo,917.47,4
2022-04-13,ref,547787.23,57
2022-03-06,ref,594650.93,45
2021-09-16,ref,305602.48,111
2022-08-20,ref,775032.65,31
2022-09-03,ref,75121.21,19
2022-03-08,ref,226210.19,6
2022-08-06,jumbo,0.27,1
2022-10-02,jumbo,31.36,1
2022-05-26,jumbo,271.51,4
2022-03-04,jumbo,13.03,3
2022-02-04,ref,380489.66,31
2021-10-21,ref,1124975.46,251
2022-01-17,ref,587110.23,98
2022-06-15,ref,3295486.8,33
2022-04-09,ref,509934,49
2022-06-06,ref,707278.85,40
2022-06-19,ref,1569470.61,32
2022-06-29,ref,758533.81,30
2022-03-11,ref,416118.7,37
2022-04-29,jumbo,5.08,2
2022-03-25,ref,76364.4,23
2022-08-08,jumbo,0,1
2021-11-16,ref,1103571.58,178
2021-10-28,ref,1206982.84,282
2022-09-12,ref,1517941.87,38
2022-08-21,jumbo,4.03,3
2022-10-26,ref,321412.64,15
2022-05-12,jumbo,10.98,3
2022-09-19,ref,714772.99,29
2022-07-19,jumbo,362.99,4
2022-03-24,jumbo,134.12,3
2022-05-13,jumbo,1.97,1
2022-05-11,jumbo,23.63,3
2022-08-20,jumbo,1.24,1
2022-05-05,ref,662916.05,46
2022-01-03,ref,639640.39,52
2021-11-24,ref,495751.41,58
2022-02-13,ref,334780.19,26
2022-03-20,ref,63135.96,49
2022-08-13,ref,411684.92,26
2022-11-01,ref,108707.36,20
2021-12-12,ref,394299.65,49
2022-02-06,ref,301910.27,25
2022-08-05,jumbo,13.22,4
2022-07-02,jumbo,193.13,3
2022-05-24,jumbo,0.8,1
2022-03-01,ref,1923693.67,63
